Address,Price,Beds,Baths,Receptions,URL
"Amberden Avenue, London, N3 ","£750,000",4,3,1,https://www.century21uk.com/property/140/1300e3bc2b2e04be865434c963ed40e9/
"Academy Gardens,  Kensington, London, W8 ","£1,750,000",1,1,1,https://www.century21uk.com/property/112/c429ec7905466d0322239badc46c7b95/
"Talbot Road, Notting Hill, London, W2 ","£1,600,000",3,2,1,https://www.century21uk.com/property/141/c429ec7905466d0322239badc46c7b95/
"Ennismore Gardens, Knightsbridge, London, SW7 ","£7,250,000",3,3,2,https://www.century21uk.com/property/116/c429ec7905466d0322239badc46c7b95/
"Coombe Lane West, Kingston upon Thames, KT2 ","£1,700,000",3,1,2,https://www.century21uk.com/property/492/7d68a64802da447c2a542594e159e526/
"Highbury Hill, London, N5 ","£685,000",2,2,1,https://www.century21uk.com/property/1016/5102e55d050e2bd0383793b2556063c6/
"Leinster Gardens, Bayswater, London, W2 ","£6,250,000",4,4,1,https://www.century21uk.com/property/139/c429ec7905466d0322239badc46c7b95/
"Queen's Gardens, Bayswater, London, W2 ","£1,950,000",2,2,1,https://www.century21uk.com/property/113/c429ec7905466d0322239badc46c7b95/
"Banyan House, Imperial Wharf, London, SW6 ","£1,050,000",2,2,1,https://www.century21uk.com/property/121/c429ec7905466d0322239badc46c7b95/
"Queen's Gate Gardens, South Kensington, London, SW7 ","£6,250,000",4,3,3,https://www.century21uk.com/property/110/c429ec7905466d0322239badc46c7b95/
"Melbury Road, Holland Park, London, W14 ","£3,050,000",3,3,1,https://www.century21uk.com/property/90/c429ec7905466d0322239badc46c7b95/
"Parliament View Apartments, London, SE1 ","£2,950,000",3,2,1,https://www.century21uk.com/property/30/1300e3bc2b2e04be865434c963ed40e9/
"124 Pentonville Road, London, N1 ","£650,000",2,2,1,https://www.century21uk.com/property/993/5102e55d050e2bd0383793b2556063c6/
"Wymering Mansions, London, W9 ","£850,000",3,1,1,https://www.century21uk.com/property/1030/5102e55d050e2bd0383793b2556063c6/
"Norbroke Street, London, W12 ","£660,000",3,2,2,https://www.century21uk.com/property/4/153274855c3bef4f2159e47adeb93c60/
"Kingsley Road, London, E7 ","£595,000",4,3,1,https://www.century21uk.com/property/696/93babe68b188cb8fbe34b57dc3e6d93d/
"Stile Hall Parade, London, W4 ","£375,000",2,1,1,https://www.century21uk.com/property/139/1300e3bc2b2e04be865434c963ed40e9/
"Chamberlayne Avenue, Harrow, HA9 ","£585,000",3,2,1,https://www.century21uk.com/property/2358856//
"Victoria Avenue, Wembley, HA9 ","£547,500",3,1,2,https://www.century21uk.com/property/2353102//
"Chartley Avenue, Neasden NW2, NW2 ","£650,000",3,2,1,https://www.century21uk.com/property/2279735//
"Breakspear Road North, Wembley Park, HA4 ","£50,000",Studio,,,https://www.century21uk.com/property/2304108//
"Winchester Avenue, Kingsbury, NW9 ","£549,950",3,1,2,https://www.century21uk.com/property/2315934//
"Lonsdale Avenue, Wembley, HA9 ","£495,000",3,1,2,https://www.century21uk.com/property/2310149//
"Daintry Close, Harrow, HA3 ","£390,000",2,1,1,https://www.century21uk.com/property/2304592//
"Loretto Gardens, Harrow, HA3 ","£560,000",3,2,2,https://www.century21uk.com/property/2300668//
"Essoldo Way, Edgware, HA8 ","£479,950",3,2,1,https://www.century21uk.com/property/2286464//
"Erebus Drive, London, SE28 ","£360,000",2,2,1,https://www.century21uk.com/property/288/091eedc485ba5a91347508c8af77e349/
"Palace Street, London, SW1E ","£4,250,000",2,2,1,https://www.century21uk.com/property/143/1300e3bc2b2e04be865434c963ed40e9/
"Tudor House, London, SE1 ","£2,100,000",3,3,1,https://www.century21uk.com/property/23/e56be8c92f8099b9b0d98bfa2ef09b07/
"Claremont Square, London, N1 ","£2,295,000",6,3,3,https://www.century21uk.com/property/644/5102e55d050e2bd0383793b2556063c6/
"Clare Lawn Avenue, London, SW14 ","£2,000,000",6,4,2,https://www.century21uk.com/property/27/1300e3bc2b2e04be865434c963ed40e9/
"Racton Road, London, SW6 ","£1,800,000",5,3,1,https://www.century21uk.com/property/10/1300e3bc2b2e04be865434c963ed40e9/
"Kingsdown Road, London, N19 ",POA,5,4,4,https://www.century21uk.com/property/894/5102e55d050e2bd0383793b2556063c6/
"Battledean Road, London, N5 ","£1,300,000",4,1,2,https://www.century21uk.com/property/1003/5102e55d050e2bd0383793b2556063c6/
"Keybridge House, London, SW8 ","£1,250,000",2,2,1,https://www.century21uk.com/property/217/113edcbba40c8723302988b89a7a7959/
"City Road , London, EC1V ","£1,220,000",2,2,1,https://www.century21uk.com/property/162/1300e3bc2b2e04be865434c963ed40e9/
"The Butts, Brentford, TW8 ","£1,150,000",5,3,1,https://www.century21uk.com/property/87/1300e3bc2b2e04be865434c963ed40e9/
"Heston Road, Hounslow, TW5 ","£1,000,000",6,4,1,https://www.century21uk.com/property/163/113edcbba40c8723302988b89a7a7959/
"Amberden Avenue, London, N3 ","£989,950",4,2,1,https://www.century21uk.com/property/25/0bad55953bfbc5b6763530de63d9c8c1/
"Amberden Avenue, London, N3 ","£989,950",4,3,1,https://www.century21uk.com/property/1004/5102e55d050e2bd0383793b2556063c6/
"Hand Axe Yard, London, WC1X ","£975,000",2,1,1,https://www.century21uk.com/property/933/5102e55d050e2bd0383793b2556063c6/
"Sir Alexander Close, London, W3 ","£950,000",3,3,2,https://www.century21uk.com/property/77/1300e3bc2b2e04be865434c963ed40e9/
"Chiltern Court, London, NW1 ","£925,000",2,2,1,https://www.century21uk.com/property/772/5102e55d050e2bd0383793b2556063c6/
"City Road, London, EC1V ","£925,000",2,2,1,https://www.century21uk.com/property/279/5102e55d050e2bd0383793b2556063c6/
"Flotilla House, London, E16 ","£883,000",2,2,,https://www.century21uk.com/property/107/113edcbba40c8723302988b89a7a7959/
"Copenhagen Street, London, N1 ","£900,000",2,2,1,https://www.century21uk.com/property/1017/5102e55d050e2bd0383793b2556063c6/
"Thorncliffe Road, southall, UB2 ","£860,000",5,2,2,https://www.century21uk.com/property/20/113edcbba40c8723302988b89a7a7959/
"Elmore Street, London, N1 ","£685,000",2,1,1,https://www.century21uk.com/property/994/5102e55d050e2bd0383793b2556063c6/
"Cypress Avenue, Twickenham, TW2 ","£800,000",4,3,2,https://www.century21uk.com/property/26/1300e3bc2b2e04be865434c963ed40e9/
"Claremont Avenue, New Malden, KT3 ","£775,000",5,2,3,https://www.century21uk.com/property/481/7d68a64802da447c2a542594e159e526/
"Cairo Road, London, E17 ","£699,950",3,2,2,https://www.century21uk.com/property/559/6c6c8d884b336b3b79db6cadc2342e01/
"Krishna News, London, E4 ","£680,000",2,2,,https://www.century21uk.com/property/591/6c6c8d884b336b3b79db6cadc2342e01/
"Manchester Road, London, E14 ","£675,000",3,3,1,https://www.century21uk.com/property/565/091eedc485ba5a91347508c8af77e349/
"Garnet Walk, London, E6 ","£650,000",6,2,3,https://www.century21uk.com/property/415/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Arthur Road, Holloway N7, N7 ","£644,995",2,1,1,https://www.century21uk.com/property/749/5102e55d050e2bd0383793b2556063c6/
"114 Wanstead Park Road, Ilford, IG1 ","£640,000",4,3,1,https://www.century21uk.com/property/414/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Kings Cross, London, n1 ","£625,000",2,2,1,https://www.century21uk.com/property/862/5102e55d050e2bd0383793b2556063c6/
"Wanstead Park Road, Ilford, IG1 ","£640,000",4,3,1,https://www.century21uk.com/property/189/091eedc485ba5a91347508c8af77e349/
"Warwick Road, West Drayton, UB7 ","£630,000",4,2,3,https://www.century21uk.com/property/216/113edcbba40c8723302988b89a7a7959/
"Kempton Road, London, E6 ","£625,000",5,2,2,https://www.century21uk.com/property/690/93babe68b188cb8fbe34b57dc3e6d93d/
"Bulstrode Avenue, Hounslow, TW3 ","£610,000",5,3,,https://www.century21uk.com/property/198/113edcbba40c8723302988b89a7a7959/
"Hanworth Road, Feltham, TW13 ","£600,000",4,2,2,https://www.century21uk.com/property/9/7dc3b69cd3099982477021a6450bce67/
"Lenelby Road, Surbiton, KT6 ","£575,000",3,2,2,https://www.century21uk.com/property/1/7dc3b69cd3099982477021a6450bce67/
"Mortlake Road, Ilford, IG1 ","£585,000",3,2,1,https://www.century21uk.com/property/215/091eedc485ba5a91347508c8af77e349/
"Brookscroft Road, London, E17 ","£545,000",4,2,1,https://www.century21uk.com/property/746/f9e33985765d759fd0a1f7db1a7699d9/
"38 Peaketon Avenue, Ilford, IG4 ","£525,000",3,1,1,https://www.century21uk.com/property/416/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"South Hill Park Gardens, London, NW3 ","£525,000",1,1,1,https://www.century21uk.com/property/600/5102e55d050e2bd0383793b2556063c6/
"81-89 Farringdon Road, London, EC1M ","£525,000",1,1,1,https://www.century21uk.com/property/1018/5102e55d050e2bd0383793b2556063c6/
"Hook Road, Surbiton, KT6 ","£525,000",3,2,1,https://www.century21uk.com/property/393/7d68a64802da447c2a542594e159e526/
"Selbourne Avenue, Surbiton, KT6 ","£505,000",3,2,2,https://www.century21uk.com/property/12/7dc3b69cd3099982477021a6450bce67/
"Steeple Walk, London, N1 ","£500,000",2,1,1,https://www.century21uk.com/property/347/5102e55d050e2bd0383793b2556063c6/
"South Road, Feltham, TW13 ","£500,000",3,1,1,https://www.century21uk.com/property/14/7dc3b69cd3099982477021a6450bce67/
"Copenhagen Street, London, N1 ","£500,000",2,1,1,https://www.century21uk.com/property/639/5102e55d050e2bd0383793b2556063c6/
"Henderson Road, London, E7 ","£500,000",4,2,3,https://www.century21uk.com/property/448/93babe68b188cb8fbe34b57dc3e6d93d/
"Nigel Road, Ilford, E7 ","£495,000",3,2,2,https://www.century21uk.com/property/683/93babe68b188cb8fbe34b57dc3e6d93d/
"Ellis Avenue, Rainham, RM13 ","£480,000",4,2,,https://www.century21uk.com/property/646/f9e33985765d759fd0a1f7db1a7699d9/
"Wanstead Park Road, Ilford, IG1 ","£475,000",3,2,1,https://www.century21uk.com/property/512/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Spencer Avenue, Hayes, UB4 ","£475,000",3,2,2,https://www.century21uk.com/property/26/113edcbba40c8723302988b89a7a7959/
"Halley Road, London, E12 ","£475,000",3,1,1,https://www.century21uk.com/property/370/93babe68b188cb8fbe34b57dc3e6d93d/
"Betterton Road, Rainham, RM13 ","£475,000",3,2,1,https://www.century21uk.com/property/492/f9e33985765d759fd0a1f7db1a7699d9/
"Burnham Road, Dagenham, RM9 ","£450,000",5,2,2,https://www.century21uk.com/property/573/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Queens Road, southall, UB2 ","£450,000",5,3,2,https://www.century21uk.com/property/129/113edcbba40c8723302988b89a7a7959/
"Green Street, London, E7 ","£450,000",3,2,2,https://www.century21uk.com/property/681/93babe68b188cb8fbe34b57dc3e6d93d/
"Eton Road, Ilford, IG1 ","£445,000",3,1,2,https://www.century21uk.com/property/467/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Leconfield Road, London, N5 ","£440,000",1,1,1,https://www.century21uk.com/property/625/5102e55d050e2bd0383793b2556063c6/
"Eton Road, Ilford, IG1 ","£445,000",3,1,2,https://www.century21uk.com/property/221/091eedc485ba5a91347508c8af77e349/
"Ranelagh Road, London, E6 ","£440,000",3,2,1,https://www.century21uk.com/property/542/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"30 Copenhagen Place, London, E14 ","£440,000",2,1,1,https://www.century21uk.com/property/433/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Sunbury Road, Feltham, TW13 ","£430,000",3,1,2,https://www.century21uk.com/property/11/7dc3b69cd3099982477021a6450bce67/
"Raynton Drive, Hayes, UB4 ","£425,000",3,1,1,https://www.century21uk.com/property/41/113edcbba40c8723302988b89a7a7959/
"Kingston Road, Epsom, KT19 ","£425,000",2,1,2,https://www.century21uk.com/property/422/7d68a64802da447c2a542594e159e526/
"Lordship Lane, London, N17 ","£420,000",4,1,1,https://www.century21uk.com/property/219/af1576e6591ac41de2959120ffc25c5f/
"Sandford Road, London, E6 ","£420,000",5,2,1,https://www.century21uk.com/property/589/93babe68b188cb8fbe34b57dc3e6d93d/
"Rotherfield Street, London, N1 ","£400,000",1,1,1,https://www.century21uk.com/property/354/5102e55d050e2bd0383793b2556063c6/
"Mildmay Avenue, London, N1 ","£400,000",1,1,1,https://www.century21uk.com/property/506/5102e55d050e2bd0383793b2556063c6/
"Shaftesbury Road, London, E10 ","£400,000",Studio,1,,https://www.century21uk.com/property/561/6c6c8d884b336b3b79db6cadc2342e01/
"Aylesbury Road, London, SE17 ","£400,000",1,1,1,https://www.century21uk.com/property/34/e56be8c92f8099b9b0d98bfa2ef09b07/
"Mortimer Road, London, E6 ","£400,000",4,1,2,https://www.century21uk.com/property/340/93babe68b188cb8fbe34b57dc3e6d93d/
"Teddington Park Road, Teddington, TW11 ","£399,950",2,1,1,https://www.century21uk.com/property/16/7dc3b69cd3099982477021a6450bce67/
"Watton Point, Surbiton, KT6 ","£375,000",Studio,1,1,https://www.century21uk.com/property/18/7dc3b69cd3099982477021a6450bce67/
"139 Highbury New Park, London, N5 ","£370,000",1,1,1,https://www.century21uk.com/property/847/5102e55d050e2bd0383793b2556063c6/
"Staines Road, Hounslow, tw4 ","£367,000",2,1,1,https://www.century21uk.com/property/188/113edcbba40c8723302988b89a7a7959/
"Bramley Road, London, W10 ","£350,000",Studio,1,1,https://www.century21uk.com/property/74/113edcbba40c8723302988b89a7a7959/
"Staines Road, Hounslow, TW4 ","£354,000",2,1,1,https://www.century21uk.com/property/205/113edcbba40c8723302988b89a7a7959/
"The Thomas More Building, Ruislip, HA4 ","£350,000",2,1,1,https://www.century21uk.com/property/215/113edcbba40c8723302988b89a7a7959/
"Louise Gardens, Rainham, RM13 ","£350,000",3,2,1,https://www.century21uk.com/property/578/f9e33985765d759fd0a1f7db1a7699d9/
"Terrace Apartments, London, N5 ","£350,000",Studio,1,1,https://www.century21uk.com/property/960/5102e55d050e2bd0383793b2556063c6/
"Nolan Way, London, E5 ","£335,000",2,1,1,https://www.century21uk.com/property/6/a64502258e3563b208c6e04f359e13f7/
"Henley Lodge, London, E17 ","£349,950",2,1,1,https://www.century21uk.com/property/619/6c6c8d884b336b3b79db6cadc2342e01/
"Capel House, Surbiton, KT5 ","£348,000",2,1,1,https://www.century21uk.com/property/459/7d68a64802da447c2a542594e159e526/
"Guysfield Close, Rainham, RM13 ","£320,000",3,1,1,https://www.century21uk.com/property/649/f9e33985765d759fd0a1f7db1a7699d9/
"Staines Road, Hounslow, TW4 ","£345,000",2,1,1,https://www.century21uk.com/property/201/113edcbba40c8723302988b89a7a7959/
"Staines Road, Hounslow, TW4 ","£316,000",1,1,1,https://www.century21uk.com/property/202/113edcbba40c8723302988b89a7a7959/
"Blackhorse Lane, London, E17 ","£330,000",2,1,1,https://www.century21uk.com/property/616/6c6c8d884b336b3b79db6cadc2342e01/
"Swift Close, Hayes, UB3 ","£315,000",3,1,1,https://www.century21uk.com/property/238/113edcbba40c8723302988b89a7a7959/
"Markhouse Road, London, E17 ","£325,000",2,1,1,https://www.century21uk.com/property/548/6c6c8d884b336b3b79db6cadc2342e01/
"City Gate House, Ilford, IG2 ","£312,000",1,1,1,https://www.century21uk.com/property/378/091eedc485ba5a91347508c8af77e349/
"Ockley House, Kingston upon Thames, KT2 ","£320,000",3,1,1,https://www.century21uk.com/property/324/7d68a64802da447c2a542594e159e526/
"Reede Road, Dagenham, RM10 ","£310,000",2,1,1,https://www.century21uk.com/property/671/93babe68b188cb8fbe34b57dc3e6d93d/
"Flat 47, Ilford, IG2 ","£320,000",2,2,1,https://www.century21uk.com/property/479/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Staines Road, Hounslow, TW4 ","£306,000",1,1,1,https://www.century21uk.com/property/189/113edcbba40c8723302988b89a7a7959/
", Hounslow, TW4 ","£306,000",1,1,1,https://www.century21uk.com/property/228/113edcbba40c8723302988b89a7a7959/
"125 High Street, London, E13 ","£300,000",2,1,1,https://www.century21uk.com/property/247/93babe68b188cb8fbe34b57dc3e6d93d/
"City View, Ilford, IG1 ","£299,995",2,2,1,https://www.century21uk.com/property/463/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Amesbury Road, Feltham, TW13 ","£285,000",2,1,1,https://www.century21uk.com/property/13/7dc3b69cd3099982477021a6450bce67/
"Shakespeare Avenue, Hayes, UB4 ","£280,000",2,1,1,https://www.century21uk.com/property/94/1300e3bc2b2e04be865434c963ed40e9/
"Nash House, London, E17 ","£290,000",1,1,1,https://www.century21uk.com/property/624/6c6c8d884b336b3b79db6cadc2342e01/
"Gloxinia Walk, Hampton, TW12 ","£275,000",1,1,1,https://www.century21uk.com/property/2/7dc3b69cd3099982477021a6450bce67/
"Lincoln Court, Hampton, TW12 ","£275,000",1,1,1,https://www.century21uk.com/property/10/7dc3b69cd3099982477021a6450bce67/
"Blake Avenue, Barking, IG11 ","£270,000",2,2,1,https://www.century21uk.com/property/530/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Lemonade Building, Barking, IG11 ","£270,000",2,2,1,https://www.century21uk.com/property/538/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Meadow Close, London, SE6 ","£265,000",2,1,1,https://www.century21uk.com/property/87/e56be8c92f8099b9b0d98bfa2ef09b07/
"City View, Ilford, IG1 ","£260,000",2,2,1,https://www.century21uk.com/property/418/091eedc485ba5a91347508c8af77e349/
"Hoppner Road, Hayes, UB4 ","£260,000",2,1,1,https://www.century21uk.com/property/76/113edcbba40c8723302988b89a7a7959/
"Northumberland Grove, London, N17 ","£250,000",2,1,1,https://www.century21uk.com/property/184/af1576e6591ac41de2959120ffc25c5f/
"Lexicon Apartments, Romford, RM1 ","£249,950",1,1,1,https://www.century21uk.com/property/693/93babe68b188cb8fbe34b57dc3e6d93d/
"Rill Court, Barking, IG11 ","£220,000",1,1,1,https://www.century21uk.com/property/504/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Upper Clapton Road, London, E5 ","£220,000",Studio,,,https://www.century21uk.com/property/1/a64502258e3563b208c6e04f359e13f7/
"Bideford Close, Feltham, TW13 ","£212,000",1,1,1,https://www.century21uk.com/property/6/7dc3b69cd3099982477021a6450bce67/
"Cutmore Ropeworks, Barking, IG11 ","£210,000",1,1,1,https://www.century21uk.com/property/556/4f0d1ba5c1681c2533d3fc2ae8bea5e5/
"Watermill Way, Feltham, TW13 ","£200,000",1,1,1,https://www.century21uk.com/property/3/7dc3b69cd3099982477021a6450bce67/
"High Road, Romford, RM6 ","£200,000",Studio,3,2,https://www.century21uk.com/property/317/f9e33985765d759fd0a1f7db1a7699d9/
"Stourton Avenue, Feltham, TW13 ","£199,950",1,1,1,https://www.century21uk.com/property/15/7dc3b69cd3099982477021a6450bce67/
"South Street, Romford, RM1 ","£196,000",4,1,1,https://www.century21uk.com/property/270/f9e33985765d759fd0a1f7db1a7699d9/
"Damsonwood Road, southall, UB2 ","£195,000",1,1,1,https://www.century21uk.com/property/155/113edcbba40c8723302988b89a7a7959/
"Hermitage Lane, London, SE25 ","£170,000",1,1,1,https://www.century21uk.com/property/34/d05c3e0ebfc8ab44e6c24b615bad1fb8/
"Queensway, London, W2 ",POA,Studio,1,,https://www.century21uk.com/property/863/5102e55d050e2bd0383793b2556063c6/
"Gray's Inn Road, London, WC1X ","£125,000",Studio,,,https://www.century21uk.com/property/472/5102e55d050e2bd0383793b2556063c6/
"St. John Street, London, EC1V ","£125,000",Studio,1,,https://www.century21uk.com/property/1019/5102e55d050e2bd0383793b2556063c6/
"Southwold Road, London, E5 ","£110,000",Studio,1,,https://www.century21uk.com/property/694/93babe68b188cb8fbe34b57dc3e6d93d/
"Elmer Gardens, Rainham, RM13 ","£95,000",Studio,1,,https://www.century21uk.com/property/460/f9e33985765d759fd0a1f7db1a7699d9/
"High Street, London, E17 ","£90,000",1,1,1,https://www.century21uk.com/property/311/f9e33985765d759fd0a1f7db1a7699d9/
"Station Road, Romford, RM6 ","£95,000",Studio,1,,https://www.century21uk.com/property/564/f9e33985765d759fd0a1f7db1a7699d9/
"High Road Leytonstone , London, E11 ","£90,000",2,1,1,https://www.century21uk.com/property/367/f9e33985765d759fd0a1f7db1a7699d9/
"53 Chislehurst Road, Chislehurst, BR7 ","£73,000",Studio,1,,https://www.century21uk.com/property/447/f9e33985765d759fd0a1f7db1a7699d9/
"Greengate Street, London, E13","£65,000",Studio,1,,https://www.century21uk.com/property/446/f9e33985765d759fd0a1f7db1a7699d9/
